Nome;Latitude;Longitude
 ALPES;-21,8906;-42,9459
Aeropasto;-22,4891;-45,9847
Aeropasto ;-22,4526;-46,0178
Aeroporto Carlos Prates;-19,9076;-43,9855
Airport of Zona da Mata;-21,5068;-43,1637
Alfredo Chaves;-20,6642;-40,7081
Alfredo Chaves;-20,6715;-40,7804
Alfredo Chaves;-20,3731;-40,3137
Alfredo Chaves ;-20,6535;-40,7542
Allfly linhares;-19,4878;-40,1083
Alto Lagoa;-20,0339;-41,0052
Alto da serra;-20,7569;-41,5653
Alto do Campo;-22,1619;-45,6145
Araguari;-18,4373;-48,4351
Araguari;-18,514;-48,561
Araguari;-18,6667;-48,1895
Ararapira;-18,4914;-48,2483
Araxa;-19,6994;-46,855
Areias;-19,751;-44,008
Aricanga;-19,823;-40,3363
ArthurRO ;-21,0893;-42,5101
Astolfo Dutra;-21,3221;-42,888
BASE PARARACER;-20,734;-40,5292
BOA SORTE;-16,9534;-44,1848
BOM JESUS ITABAPOANA;-21,1017;-41,6578
BUGRE;-19,3755;-42,2802
Baependi Macieis;-21,9676;-44,8213
Baependi North;-21,973;-44,8856
Baiano Takeoff;-21,7904;-46,5789
Baixo Guandu;-19,6303;-40,9686
Baixo Guandu;-19,6308;-40,9678
Beautiful Stone;-20,5619;-42,3866
Bela Vista Airport;-22,1504;-45,7652
Belo Horizonte;-19,9167;-43,9333
Bicas;-21,7032;-43,0732
Bicas;-21,7087;-43,0852
Bicas;-21,6988;-43,1174
Big Stone;-22,3216;-45,4483
Boa vista  Ipuiuna;-22,1296;-46,1877
Bocaina Park;-19,7207;-46,7937
Bocaina de Minas;-22,1797;-44,5122
Bom Jardim de Minas;-21,8641;-44,0968
Brasilia de Minas;-16,2119;-44,4308
Brejaubinha;-18,7936;-42,3019
Bugio waterfall;-22,0418;-44,8117
CAP Eneas;-16,7066;-43,8664
CHEESE;-21,686;-45,2573
Cachoeira Casca Danta;-20,314;-46,5337
Cachoeira do Coelho;-21,848;-43,7466
Cachoeiro de Itapemirim;-20,7658;-41,0494
Cachoeiro de Itapemirim;-20,7532;-41,063
Caete;-21,8986;-43,3464
Caldas;-21,9376;-46,3815
Cambuquira;-21,9298;-45,311
Cambuquira;-21,8873;-45,3041
Cambuquira;-21,9052;-45,2878
Cambuquira;-21,9139;-45,3018
Campo do Muro;-22,4035;-44,9146
Carmo do Rio Claro;-20,5395;-43,8774
Carrancas;-21,4462;-44,667
Carrancas;-21,4642;-44,6618
Castilha Take off;-21,3359;-42,4295
Cliff Place;-21,1493;-40,8887
Coivaras;-21,9913;-44,6781
Colonia Baependi;-22,0406;-44,8938
Concha ;-21,7577;-46,5477
Congonhal;-22,1684;-46,0036
Congonhal;-22,1241;-46,0322
Contestado;-18,7353;-41,3952
Corrego da Foice Peack;-22,6397;-45,7108
Creek Beach;-20,7029;-40,5151
Crist;-22,2218;-45,9827
Cristo ;-21,7585;-43,3606
Cruzeiro;-19,1947;-42,0193
Cruzeiro de Almenara;-16,2;-40,6744
Cume do FRITZ;-17,6619;-40,367
DIGIFLY DESLIGOU EM VOO;-18,9518;-41,7567
Danilo Pionte;-19,7586;-40,6916
Decolagem da travessia;-22,1009;-44,7314
Decolagem de Machados ;-21,673;-43,1359
Descoberto;-21,454;-42,9785
Dores do Rio Preto ES;-20,7042;-41,8486
Dunas de Itaunas;-18,4199;-39,7031
ECOPORANGA;-18,3748;-40,8423
EdsBarr;-20,6686;-43,6678
Edson fly;-20,9293;-43,7666
Escolinha;-16,8505;-43,5901
Extrema Morro dos Cabritos;-22,8637;-46,2997
Falesia do Leao;-22,0054;-44,6384
Fazenda;-21,8749;-43,579
Fazenda Seiva;-21,9624;-44,9052
Fazenda do Ricardo;-22,3504;-44,8418
Fazenda do ze augusto;-22,3144;-44,8746
Fim da picada;-22,0431;-44,6941
Flight of the Cruzeiro;-18,2642;-47,0943
Fly pico da Bandeira ;-20,4518;-41,8632
Forno Grande Peak;-20,5202;-41,1039
Gap Ptc;-18,8768;-46,9986
Gavin Peak ;-20,6985;-40,7782
Gisso;-20,6871;-40,7887
Glas Parque Real;-21,6027;-43,1589
Goiapabacu;-19,9818;-40,4284
Governador Valadares;-18,8747;-41,9149
Grameira Queluzito;-20,7065;-43,8432
Green clube Aerodiv;-20,2313;-44,9245
Guarapari;-20,7198;-40,5224
Guarda Mor;-17,7636;-47,1373
Guarda mor;-17,7522;-47,1382
Guidoval;-21,203;-42,7561
Guidoval;-21,1741;-43,0251
Heringer;-20,3011;-42,0062
IBITURUNA;-19,3179;-42,0657
Ibitipoca;-21,7332;-43,9182
Ibitipoca;-21,5658;-43,8683
Ibitiura de Minas;-22,0429;-46,4367
Ibitiura de Minas Igrejinha;-22,0498;-46,4166
Ibituruna;-18,958;-41,9385
Ibituruna;-19,0957;-42,0258
Ibituruna;-19,017;-41,9941
Ibituruna;-21,0587;-46,4234
Inconfidentes MG;-22,336;-46,3241
Itabira;-19,6111;-43,1491
Itabira;-20,061;-43,9824
Itabirito;-20,1002;-43,8533
Itaguara;-20,372;-44,4724
Itambacuri ;-18,0601;-41,6955
Itamonte;-22,3729;-44,8177
Itumbiara;-18,3938;-49,0076
Jacete Cliff;-20,3277;-41,1762
Japaraiba MG;-20,1376;-45,519
Jose Bridi;-19,8717;-40,8366
Juiz de Fora;-21,6894;-43,3526
Lavras Novas;-20,4404;-43,5566
Leopoldina;-21,553;-42,659
Leopoldina;-21,5695;-42,6788
Leopoldina;-21,5504;-42,6439
Leopoldina;-21,5936;-42,6704
Leopoldina;-21,544;-42,655
Leopoldina;-21,506;-42,599
Lestinho;-18,6199;-46,3952
Lime ramp;-20,9837;-41,2399
Little Church;-21,0732;-45,554
Little Church;-21,0003;-45,6149
Little Coffee;-20,8584;-41,5566
ML BEACH ;-19,9196;-44,9556
MOC;-16,5432;-43,9113
MORRO DO SELADO;-21,9879;-45,3181
Macgiver take off;-20,3853;-46,3551
Mantena;-18,785;-41,0127
Maquigi Take Off;-19,491;-40,8429
Maria Mijona;-22,4083;-45,8955
Mariana;-20,3999;-43,3891
Marins Peak;-22,4955;-45,1259
Mazinho Launch;-21,0232;-43,6324
Medeiros;-19,9588;-46,2037
Microondas;-21,6523;-43,3406
Mirante;-20,8978;-42,8413
Mirante Jacroa;-19,726;-42,7156
Mirante da Canastra;-20,1119;-46,578
Moedao BH;-20,1955;-43,9791
Moedinha;-20,193;-44,022
Moedinha;-20,2062;-44,0631
Moedinha BH;-20,1954;-43,9789
Moitao stone ramp;-20,896;-41,194
Monjolo;-19,5749;-40,9767
Monte Castelo;-20,4915;-41,8532
Monte verde;-22,8844;-46,0414
Moreira;-22,0053;-44,864
Morrinho da escolinha;-22,5397;-45,7696
Morrinho do Lei;-20,7568;-45,8639
Morro da Antena;-20,4759;-45,4484
Morro da Laje;-20,3137;-47,1367
Morro da Mesa;-19,6619;-46,7754
Morro da Torre;-18,7866;-42,9238
Morro das Antenas;-20,5968;-41,0917
Morro das Lavadeiras ;-19,4954;-42,5801
Morro das Tormentas;-20,9902;-46,1024
Morro das Torres Salinas;-16,1616;-42,2642
Morro de Caxambu;-21,9801;-44,9402
Morro de Santa Luzia;-20,4626;-45,4071
Morro do Cavalo;-20,4087;-47,2281
Morro do Cruzeiro;-21,7524;-45,2372
Morro do Cruzeiro ;-18,9918;-40,7435
Morro do Inhambu;-20,4034;-45,1403
Morro do Moreno;-20,3254;-40,2766
Morro do papai;-16,4064;-43,7473
Morrote antiga usina ;-21,414;-45,5289
Morrote do Alvim;-20,3795;-41,2044
Morrote do Japira;-19,4416;-40,3034
Orsini;-20,5023;-43,6861
Ouro Branco Hill;-20,5075;-43,6673
PEDRA AGUDA;-22,4761;-45,4464
PICO DO IBITURUNA;-19,0479;-42,0102
PIRACAIBA RAMPA NORTE;-18,4473;-48,4201
Palmital ;-18,6194;-41,42
Pancas;-19,2395;-40,8139
Parque do Sagui;-20,3546;-42,0153
Passa Quatro;-22,4088;-44,9331
Pasto de decolagem Dona Silvia;-19,4151;-44,1806
Pedra Amarela ;-16,1734;-40,7147
Pedra Bela Vista;-22,3755;-46,4768
Pedra Descolada;-20,8281;-41,1428
Pedra Grande;-20,1157;-44,3524
Pedra Preta;-20,121;-40,3265
Pedra Preta;-22,2516;-45,2471
Pedra da Baleia;-17,8202;-41,0026
Pedra da Concha;-20,4266;-40,3213
Pedra da Lajinha;-17,9968;-41,5644
Pedra de Ouro Verde de Minas ;-18,0597;-41,2695
Pedra do Calhau;-20,2712;-44,724
Pedra do Elefante;-22,1227;-46,4879
Pedra do Javali;-22,6122;-45,7936
