Id;Nome;Latitude;Longitude
10489;"Seu Nega" trainning hill;-20,7636;-41,0708
9368;Afonso Claudio - Faz, Guandu;-20,2256;-41,097
9306;Alfredo Chaves;-20,6642;-40,7081
8885;Alfredo Chaves;-20,6715;-40,7804
10707;Alfredo Chaves;-20,3731;-40,3137
11241;Alto Chapéu;-20,5816;-41,2589
11075;Alto da serra;-20,7569;-41,5653
9224;Apeninos - Castelo;-20,5901;-41,1614
11994;Apeninos - Pouso;-20,6098;-41,1838
10778;Aricanga;-19,823;-40,3363
10905;BOM JESUS ITABAPOANA;-21,1017;-41,6578
12210;Baixo Guandu;-19,6303;-40,9686
12208;Baixo Guandu;-19,6308;-40,9678
9458;Baixo Guandu;-;-
11421;Baixo Guandú - West Takeoff;-19,6325;-40,958
11962;Bertolini;-;-
11937;Cachoeiro de Itapemirim;-20,7658;-41,0494
11548;Cachoeiro de Itapemirim;-20,7532;-41,063
11375;Canudau/Tuty;-20,7834;-41,0469
9687;Castelo - BR;-20,6943;-41,0862
9688;Castelo - BR;-20,6115;-41,0862
11435;Castelo - Torre;-20,6155;-41,2016
11159;Cliff Place;-21,1493;-40,8887
11681;Cliffs of 15;-19,3525;-40,1133
11059;Creek Beach;-20,7029;-40,5151
9676;Danilo Pionte;-19,7586;-40,6916
11235;Dores do Rio Preto ES;-20,7042;-41,8486
10768;Dunas de Itaunas;-18,4199;-39,7031
10841;ECOPORANGA;-18,3748;-40,8423
13405;ESPAÇO DO ENFERMEIRO VOADOR;-19,7859;-45,3065
11247;Falésia da Lagoa Jesuina - RB;-19,2241;-40,2008
10465;Goiapabacu;-19,9818;-40,4284
10454;Goiapabaçu;-19,9162;-40,4713
10126;Guarapari;-20,7198;-40,5224
11038;Jacete Cliff;-20,3277;-41,1762
9546;Jose Bridi;-19,8717;-40,8366
10826;KM 47;-18,7586;-40,2765
11665;Lime ramp;-20,9837;-41,2399
9204;Mantenópolis - Daniel Casaurang;-18,8786;-41,1269
9365;Maricará;-20,2695;-40,466
10258;Mestre Álvaro, Pedreira (nova carapina);-20,1616;-40,2835
9945;Mestre Álvaro, lado Pitanga;-20,1838;-40,2935
10094;Monjolo;-19,5749;-40,9767
9408;Morro das Antenas;-20,5968;-41,0917
9297;Morro do Moreno;-20,3254;-40,2766
11118;Morrote do Alvim;-20,3795;-41,2044
10706;Morrote do Japira;-19,4416;-40,3034
11430;Morrote sul Aracuí;-20,642;-41,2683
9346;Pancas;-;-
11047;Pancas;-19,2395;-40,8139
11031;Pedra Descolada;-20,8281;-41,1428
10277;Pedra Preta;-20,121;-40,3265
9547;Pedra da Concha;-20,4266;-40,3213
10899;Pedreira;-20,2815;-40,3226
10646;Pico dos Abelheiros ;-19,0254;-41,0704
10617;Piuma beach;-20,8529;-40,7495
12207;Próx, Vargem Alegre;-18,8482;-40,8474
10005;Ramp Anutiba;-20,6153;-41,4463
9720;Ramp High Palmital;-19,6693;-40,9616
11130;Ramp Ita;-18,5944;-40,8745
11680;Ramp coffee;-20,8646;-41,5741
10845;Rampa 05 Pontões;-19,7951;-40,9993
10433;Rampa 1 do São Francisco;-19,3136;-40,2926
11329;Rampa Alto Caparaó Itaguaçu;-19,723;-40,9712
10738;Rampa Alto Sobreiro/05 Pontões;-19,7694;-40,9532
10378;Rampa Anutiba Wolverine Gaivota;-20,6147;-41,4002
11234;Rampa Barra do Triunfo;-19,7243;-40,4757
10434;Rampa Lagoa Jesuína - NORTE;-19,2362;-40,1925
11111;Rampa Sul Pombal;-20,7358;-41,4593
9972;Rampa São Pedro Frio;-19,393;-40,7932
9928;Rampa da Lajinha;-19,2378;-40,8448
10500;Rampa da Serrinha;-20,3902;-41,4837
11182;Rampa da Urtiga;-20,2758;-40,4444
