#;PILOTO;PARAPENTE;Pontuacao OLC;Voo 1;Voo 2;Voo 3;Voo 4;Voo 5;Voo 6
1;Ney de Oliveira;Ozone - Rush 5;364.0;101.44;82.14;62.22;41.81;41.24;35.16
2;Daniel Bernardino;Sol - Sycross 2;360.4;116.4;86.69;79.19;61.12;9.82;7.2
3;Francisco Reis;Niviuk - Ikuma;259.2;72.11;67.56;47.42;26.11;25.97;20.07
4;Mateus Haase;Niviuk - Ikuma;221.3;72.53;59.71;25.27;23.2;22.18;18.37
5;Higor Penitenti ;Ozone - Rush 5;161.5;68.96;22.16;19.85;18.9;16.86;14.79
6;Helio Lima;Skywalk - Chili 4;143.4;58.71;40.87;20.07;12.39;11.36;0
7;Valentin Tesch ;Sol - Sycross 2;129.2;31.62;29.37;22.34;16.26;15.41;14.23
8;Aloisio de Almeida ;Sol - Sycross;109.5;109.5;0;0;0;0;0
9;Luiz Furbino;Sol - Sycross 2;94.8;18.78;17.2;15.37;15.24;14.1;14.09
10;Claudinei Inocente ;Sol - Sycross 2;63.5;17.34;14.91;10.26;7.33;6.89;6.77
11;Helicei Freitas;Up - Ascent 2;41.0;14.25;11.32;8.04;2.64;2.49;2.3
12;Jefferson Felicio ;BGD - Base 2;34.7;8.95;8.69;8.44;6.17;2.44;0
13;Hemerson Souza;Swing - Nyos 2;19.2;9.91;9.24;0;0;0;0
14;Luiz Felipe Peruchi;Sol - Atmus 2;15.5;6.48;5.24;3.74;0;0;0
