;ID_voo;Data;kmOLC;Pontuacao_OLC;local_voo;duracao;Espaco_aereo;Piloto;Categoria;Vela;Data_Coleta;Voo_data_valido;Voo_rampa_valida
0;640074;09/10/2022;422.9;634.37;Assu ;9:12;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;False
1;644262;27/10/2022;404.2;606.3;Assu ;9:59;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;False
2;641330;13/10/2022;366.9;550.41;Assu ;9:15;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;False
3;644356;28/10/2022;321.6;482.48;Assu ;7:31;False;Walace de Oliveira;Open;Gin - Leopard;2023-04-16;False;False
4;541870;30/08/2021;304.8;457.2;RICO BRITTO MONTES CLAROS ;7:59;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;True
5;629681;23/08/2022;297.6;446.35;RICO BRITTO MONTES CLAROS ;7:52;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;True
6;629525;23/08/2022;296.9;445.36;RICO BRITTO MONTES CLAROS ;7:58;False;Ruy Coelho ;Open;Niviuk - Evox;2023-04-16;False;True
7;397076;22/06/2019;293.4;440.14;RICO BRITTO MONTES CLAROS ;6:30;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;True
8;556953;31/10/2021;279.1;418.62;Assu ;8:44;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;False
9;556955;30/10/2021;276.3;414.52;Assu ;9:09;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;False
10;450377;29/06/2020;266.5;399.72;RICO BRITTO MONTES CLAROS ;6:08;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;True
11;536627;12/08/2021;252.8;379.25;RICO BRITTO MONTES CLAROS ;6:28;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;True
12;642056;17/10/2022;236.4;354.61;Assu ;6:09;False;Walace de Oliveira;Open;Gin - Leopard;2023-04-16;False;False
13;409160;25/08/2019;227.7;341.54;RICO BRITTO MONTES CLAROS ;5:48;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;True
14;451377;05/07/2020;220.0;329.96;RICO BRITTO MONTES CLAROS ;5:54;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;True
15;403138;24/07/2019;213.3;320.01;RICO BRITTO MONTES CLAROS ;6:26;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;True
16;343083;16/07/2018;211.8;317.7;RICO BRITTO MONTES CLAROS ;5:44;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;True
17;629861;23/08/2022;211.3;316.96;RICO BRITTO MONTES CLAROS ;6:14;False;Daniel Bernardino;Sport Lite;Sol - Sycross 2;2023-04-16;False;True
18;460282;27/08/2020;205.8;308.63;RICO BRITTO MONTES CLAROS ;6:31;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;True
19;353418;07/09/2018;202.9;304.33;RICO BRITTO MONTES CLAROS ;6:23;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;True
20;395894;17/06/2019;194.3;291.48;RICO BRITTO MONTES CLAROS ;6:24;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;True
21;523648;01/07/2021;190.0;285.07;RICO BRITTO MONTES CLAROS ;5:14;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;True
22;555806;27/10/2021;188.0;282.06;Assu ;5:10;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;False
23;642018;13/10/2022;185.4;278.08;Vila Val;5:50;False;Vinicius Bianchi ;Open;Ozone - Zeno 2;2023-04-16;False;True
24;630374;27/08/2022;180.0;270.02;Rampa serra da roseira ;6:08;False;Manoel Junior ;Open;Ozone - Enzo 3;2023-04-16;False;False
25;643662;24/10/2022;179.5;269.3;Assu ;5:30;False;Walace de Oliveira;Open;Gin - Leopard;2023-04-16;False;False
26;620291;20/07/2022;178.7;267.99;Jaragu;5:59;False;Walace de Oliveira;Open;Gin - Leopard;2023-04-16;False;False
27;394791;13/06/2019;177.6;266.35;RICO BRITTO MONTES CLAROS ;4:41;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;True
28;621548;24/07/2022;174.1;261.1;Rampa serra da roseira ;5:58;False;Manoel Junior ;Open;Ozone - Enzo 3;2023-04-16;False;False
29;643912;26/10/2022;173.2;259.81;Assu ;5:39;False;Walace de Oliveira;Open;Gin - Leopard;2023-04-16;False;False
30;639193;05/10/2022;170.9;256.36;Assu ;4:06;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;False
31;503211;15/04/2021;170.2;255.31;RICO BRITTO MONTES CLAROS ;5:06;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;True
32;523931;01/07/2021;169.8;254.75;RICO BRITTO MONTES CLAROS ;4:28;False;Daniel Bernardino;Sport Lite;Sol - Sycross 2;2023-04-16;False;True
33;407253;13/08/2019;169.8;254.65;RICO BRITTO MONTES CLAROS ;5:51;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;True
34;393505;06/06/2019;168.3;252.5;RICO BRITTO MONTES CLAROS ;5:21;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;True
35;642428;18/10/2022;167.0;250.54;Assu ;4:02;False;Walace de Oliveira;Open;Gin - Leopard;2023-04-16;False;False
36;402922;21/07/2019;162.3;243.38;RICO BRITTO MONTES CLAROS ;4:24;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;True
37;350277;20/08/2018;161.6;242.4;RICO BRITTO MONTES CLAROS ;4:26;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;True
38;554532;22/10/2021;161.3;241.94;Assu ;4:32;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;False
39;518100;04/06/2021;159.4;239.14;RICO BRITTO MONTES CLAROS ;4:10;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;True
40;415338;07/10/2019;158.7;238.04;Vila Val;5:43;False;Rony Carminati ;Open;Ozone - Zeno;2023-04-16;False;True
41;486928;29/01/2021;158.2;237.33;Pico do Ibituruna ;5:02;False;Thiago Werner;Open;Flow - Spectra 2;2023-04-16;False;True
42;638827;02/10/2022;152.2;228.32;Assu ;4:35;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;False
43;341772;12/07/2018;151.9;227.88;RICO BRITTO MONTES CLAROS ;5:17;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;True
44;631509;30/08/2022;150.2;225.28;RICO BRITTO MONTES CLAROS ;3:49;False;Ruy Coelho ;Open;Niviuk - Evox;2023-04-16;False;True
45;641133;13/10/2022;149.1;223.58;Vila Val;4:21;False;Manoel Junior ;Open;Ozone - Enzo 3;2023-04-16;False;True
46;537958;17/08/2021;148.2;222.28;Vila Val;5:23;False;Rony Carminati ;Open;Ozone - Zeno;2023-04-16;False;True
47;627504;14/08/2022;147.4;221.05;Baixo Guandu ;5:09;False;Marjo Lemos;Sport;Sol - LT 2;2023-04-16;False;True
48;614342;26/06/2022;147.2;220.81;RICO BRITTO MONTES CLAROS ;4:11;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;True
49;621481;24/07/2022;146.4;219.58;RICO BRITTO MONTES CLAROS ;4:59;False;Ruy Coelho ;Open;Niviuk - Evox;2023-04-16;False;True
50;622060;23/07/2022;146.1;219.11;RICO BRITTO MONTES CLAROS ;4:22;False;Daniel Bernardino;Sport Lite;Sol - Sycross 2;2023-04-16;False;True
51;350780;23/08/2018;145.3;217.94;RICO BRITTO MONTES CLAROS ;4:17;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;True
52;487045;30/01/2021;145.3;217.93;Astolfo Dutra ;5:13;False;Sebah Freitas;Open;Flow - Spectra 2;2023-04-16;False;True
53;393413;05/06/2019;145.1;217.62;RICO BRITTO MONTES CLAROS ;4:25;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;True
54;414561;02/10/2019;143.6;215.47;Baixo Guandu ;6:00;False;Rony Carminati ;Open;Ozone - Zeno;2023-04-16;False;True
55;449674;23/06/2020;143.1;214.64;RICO BRITTO MONTES CLAROS ;3:56;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;True
56;503326;16/04/2021;142.8;214.2;RICO BRITTO MONTES CLAROS ;4:55;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;True
57;615819;06/07/2022;142.1;213.21;Rampa serra da roseira ;5:38;False;Manoel Junior ;Open;Ozone - Enzo 3;2023-04-16;False;False
58;642020;16/10/2022;141.9;212.88;Baixo Guandu ;4:54;False;Marjo Lemos;Sport;Sol - LT 2;2023-04-16;False;True
59;527929;13/07/2021;141.7;212.6;RICO BRITTO MONTES CLAROS ;5:24;False;Daniel Bernardino;Sport Lite;Sol - Sycross 2;2023-04-16;False;True
60;453043;17/07/2020;141.5;212.26;RICO BRITTO MONTES CLAROS ;4:14;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;True
61;585762;06/03/2022;141.4;212.12;RICO BRITTO MONTES CLAROS ;4:44;False;Daniel Bernardino;Sport Lite;Sol - Sycross 2;2023-04-16;False;True
62;621730;24/07/2022;141.2;211.81;RICO BRITTO MONTES CLAROS ;4:58;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;True
63;485053;21/01/2021;141.2;211.79;Vila Val;5:43;False;Rony Carminati ;Open;Ozone - Zeno;2023-04-16;False;True
64;446827;04/06/2020;141.1;211.61;RICO BRITTO MONTES CLAROS ;4:53;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;True
65;572668;15/01/2022;140.2;210.36;Vila Val;6:00;False;Silas Moreira ;Open;Ozone - Zeno;2023-04-16;False;True
66;617790;05/06/2022;140.2;210.29;RICO BRITTO MONTES CLAROS ;5:43;False;Daniel Bernardino;Sport Lite;Sol - Sycross 2;2023-04-16;False;True
67;621689;24/07/2022;140.1;210.12;RICO BRITTO MONTES CLAROS ;5:09;False;Walace de Oliveira;Open;Gin - Leopard;2023-04-16;False;True
68;617791;06/07/2022;137.7;206.5;RICO BRITTO MONTES CLAROS ;5:41;False;Daniel Bernardino;Sport Lite;Sol - Sycross 2;2023-04-16;False;True
69;460284;30/07/2020;136.9;205.41;RICO BRITTO MONTES CLAROS ;3:37;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;True
70;664509;04/02/2023;135.2;202.8;Fi;4:30;False;Sebah Freitas;Open;Flow - Spectra 2;2023-04-16;True;True
71;664658;04/02/2023;135.1;202.64;Fi;4:38;False;Thiago Werner;Open;Flow - Spectra 2;2023-04-16;True;True
72;622193;25/07/2022;134.7;202.07;RICO BRITTO MONTES CLAROS ;4:35;False;Adelso Boecker;Open;Flow - Xc Racer;2023-04-16;False;True
73;665023;04/02/2023;133.9;200.81;Fi;4:34;False;Michel Pinheiro;Open;Flow - Spectra 2;2023-04-16;True;True
74;340143;05/07/2018;133.5;200.32;RICO BRITTO MONTES CLAROS ;5:12;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;True
75;483876;18/01/2021;129.8;194.72;Vila Val;6:03;False;Rony Carminati ;Open;Ozone - Zeno;2023-04-16;False;True
76;671404;04/03/2023;97.2;194.43;Monte Castelo ;4:01;False;Michel Pinheiro;Open;Flow - Spectra 2;2023-04-16;True;True
77;671410;04/03/2023;96.7;193.4;Monte Castelo ;3:59;False;Thiago Werner;Open;Flow - Spectra 2;2023-04-16;True;True
78;617065;09/07/2022;128.1;192.18;Rampa serra da roseira ;4:42;False;Manoel Junior ;Open;Ozone - Enzo 3;2023-04-16;False;False
79;374810;19/01/2019;126.4;189.64;Pico do Ibituruna ;4:08;False;Sebah Freitas;Open;Flow - Spectra 2;2023-04-16;False;True
80;518107;10/05/2021;125.1;187.63;RICO BRITTO MONTES CLAROS ;4:56;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;True
81;630833;28/08/2022;92.9;185.79;Monte Castelo ;3:58;False;Michel Pinheiro;Open;Flow - Spectra 2;2023-04-16;False;True
82;641080;13/10/2022;123.4;185.05;Vila Val;5:14;False;Marlos Janutt;Open;Flow - Xc Racer;2023-04-16;False;True
83;664052;02/02/2023;122.9;184.34;Pico do Ibituruna ;4:05;False;Vinicius Bianchi ;Open;Ozone - Zeno 2;2023-04-16;True;True
84;664063;02/02/2023;122.9;184.3;Pico do Ibituruna ;4:05;False;Manoel Junior ;Open;Ozone - Enzo 3;2023-04-16;True;True
85;619757;18/07/2022;122.8;184.13;Jaragu;4:43;False;Walace de Oliveira;Open;Gin - Leopard;2023-04-16;False;False
86;670496;28/02/2023;122.6;183.85;Alfredo Chaves ;5:42;False;Lucas Porto ;Open;Ozone - Zeolite GT;2023-04-16;True;True
87;576165;28/01/2022;122.6;183.84;Vila Val;4:51;False;Silas Moreira ;Open;Ozone - Zeno;2023-04-16;False;True
88;529304;18/07/2021;121.7;182.48;Fi;3:54;False;Thiago Werner;Open;Flow - Spectra 2;2023-04-16;False;True
89;677162;21/03/2023;90.3;180.67;Rampa de Ub;4:42;False;Manoel Junior ;Open;Ozone - Enzo 3;2023-04-16;True;True
90;622061;24/07/2022;120.3;180.43;RICO BRITTO MONTES CLAROS ;5:12;False;Daniel Bernardino;Sport Lite;Sol - Sycross 2;2023-04-16;False;True
91;642429;19/10/2022;118.8;178.25;Assu ;3:10;False;Walace de Oliveira;Open;Gin - Leopard;2023-04-16;False;False
92;462885;07/09/2020;118.1;177.08;Astolfo Dutra ;4:37;False;Sebah Freitas;Open;Flow - Spectra 2;2023-04-16;False;True
93;664306;03/02/2023;116.4;174.66;Rampa do Veinho ;3:55;False;Rony Carminati ;Open;Ozone - Zeno;2023-04-16;True;True
94;394395;10/06/2019;115.7;173.56;RICO BRITTO MONTES CLAROS ;3:27;False;Lucio Parrela;Open;Gin - Leopard;2023-04-16;False;True
95;352339;02/09/2018;113.7;170.62;Fi;3:55;False;Sebah Freitas;Open;Flow - Spectra 2;2023-04-16;False;True
96;505083;24/04/2021;113.5;170.19;Fi;4:15;False;Thiago Werner;Open;Flow - Spectra 2;2023-04-16;False;True
97;640288;10/10/2022;112.9;169.42;Vila Val;3:31;False;Vinicius Bianchi ;Open;Ozone - Zeno 2;2023-04-16;False;True
98;484489;20/01/2021;112.4;168.56;Vila Val;4:39;False;Rony Carminati ;Open;Ozone - Zeno;2023-04-16;False;True
